"Stations"	"method"	"z_value"	"Q_sum"	"Q+"	"Q-"
"2644-2646-2648-"	"cubic"	"4000"	"0.30976"	"0.32367"	"-0.01391"
"2644-2646-2648-"	"linear"	"4000"	"0.33534"	"0.34501"	"-0.00967"
"2608-2609-2610-"	"cubic"	"4000"	"0.51702"	"0.51702"	"0"
"2608-2609-2610-"	"linear"	"4000"	"0.52179"	"0.52179"	"0"
"2608-2609-2610-"	"nearest"	"4000"	"0.5186"	"0.5186"	"0"
"2569-2570-"	"cubic"	"4000"	"0.44294"	"0.44354"	"-0.0006"
"2569-2570-"	"linear"	"4000"	"0.44236"	"0.44295"	"-0.00059"
"2551-2552-"	"cubic"	"4000"	"0.4877"	"0.4877"	"0"
"2551-2552-"	"linear"	"4000"	"0.48783"	"0.48783"	"0"
2608-2609-2610-	nearest	4000	0.0	0.0	0.0
2608-2609-2610-	nearest	4000	0.0	0.0	0.0
2608-2609-2610-	nearest	4000	0.0	0.0	0.0
2608-2609-2610-	nearest	4000	11.42175	11.42175	0.0
2608-2609-2610-	nearest	4000	0.11422	0.11422	0.0
2608-2609-2610-	nearest	4000	0.01185	0.02323	-0.01137
2608-2609-2610-	nearest	4000	0.01185	0.02323	-0.01137
2608-2609-2610-	nearest	4000	0.01185	0.02323	-0.01137
2608-2609-2610-	nearest	4000	0.01185	0.02323	-0.01137	model
2608-2609-2610-	nearest	4000	0.01185	0.02323	-0.01137	model
2608-2609-2610-	nearest	4000	0.01185	0.02323	-0.01137	model
2608-2609-2610-	nearest	4000	0.01532	0.02156	-0.00623	model
2608-2609-2610-	nearest	4000	0.0834	0.09007	-0.00668	model
2608-2609-2610-	nearest	3500	0.02075	0.09007	-0.06932	model
2608-2609-2610-	nearest	4000	0.0834	0.09007	-0.00668	model
2608-2609-2610-	linear	4000	0.08339	0.0887	-0.00531	model
2608-2609-2610-	linear	4000	0.08339	0.0887	-0.00531	model
2608-2609-2610-	linear	4000	0.08326	0.08857	-0.00532	model
2608-2609-2610-	linear	3500	0.02214	0.08885	-0.06671	model
2608-2609-2610-	linear	3500	2.21363	8.8845	-6.67088	model
2608-2609-2610-	linear	3500	0.02214	0.08885	-0.06671	model
2608-2609-2610-	linear	3500	0.02214	0.08885	-0.06671	model
2608-2609-2610-	linear	3500	0.02214	0.08885	-0.06671	model
2608-2609-2610-	linear	3500	0.02214	0.08885	-0.06671	model
2608-2609-2610-	linear	3900	0.07233	0.08857	-0.01624	model
2608-2609-2610-	linear	3900	0.10135	0.10682	-0.00547	model
2608-2609-2610-	linear	3900	0.0	0.0	0.0	model
2608-2609-2610-	linear	3900	0.09971	0.10653	-0.00683	model
2608-2609-2610-	linear	3900	0.09971	0.10653	-0.00683	model
2608-2609-2610-	linear	3900	0.58415	0.58427	-0.00012	LADCP
2608-2609-2610-	linear	3900	0.0657	0.07214	-0.00644	model
2608-2609-2610-	linear	3900	0.0657	0.07214	-0.00644	model
2608-2609-2610-	linear	3900	0.0657	0.07214	-0.00644	model
2608-2609-2610-	linear	3900	0.65703	0.72143	-0.0644	model
2608-2609-2610-	linear	3900	1.31406	1.44287	-0.12881	model
2608-2609-2610-	linear	3900	0.13141	0.14429	-0.01288	model
2608-2609-2610-	linear	3900	0.0657	0.07214	-0.00644	model
2608-2609-2610-	linear	3900	0.0657	0.07214	-0.00644	model
2608-2609-2610-	linear	3900	0.0657	0.07214	-0.00644	model
2608-2609-2610-	linear	3900	0.0657	0.07214	-0.00644	model
2608-2609-2610-	linear	3900	0.0657	0.07214	-0.00644	model
2608-2609-2610-	linear	3900	0.13731	0.1427	-0.0054	model
2608-2609-2610-	linear	4200	0.09291	0.09723	-0.00433	model
2608-2609-2610-	linear	4000	0.12648	0.13093	-0.00445	model
2608-2609-2610-	linear	4000	0.12648	0.13093	-0.00445	model
2608-2609-2610-	linear	4000	0.52179	0.52179	0.0	LADCP
2608-2609-2610-	linear	4000	0.12648	0.13093	-0.00445	model
2608-2609-2610-	linear	4000	0.06274	0.06687	-0.00412	model
2608-2609-2610-	linear	4000	0.11551	0.13358	-0.01808	model
2608-2609-2610-	linear	4000	0.10052	0.10219	-0.00167	model
2608-2609-2610-	linear	4000	0.07006	0.07755	-0.00749	model
2608-2609-2610-	linear	4000	0.08326	0.08857	-0.00532	model
2608-2609-2610-	linear	4000	0.07886	0.08502	-0.00617	model
2608-2609-2610-	linear	4000	0.06274	0.06687	-0.00412	model
2608-2609-2610-	linear	4000	0.12648	0.13093	-0.00445	model
2608-2609-2610-	linear	4000	0.11551	0.13358	-0.01808	model
2608-2609-2610-	linear	4000	0.18437	0.1849	-0.00053	model
2608-2609-2610-	linear	4000	0.18437	0.1849	-0.00053	model
2608-2609-2610-	linear	4000	0.18437	0.1849	-0.00053	model
2608-2609-2610-	linear	4000	0.17696	0.17696	0.0	model
2608-2609-2610-	linear	4000	0.18437	0.1849	-0.00053	model
2608-2609-2610-	linear	4000	0.11551	0.13358	-0.01808	model
2608-2609-2610-	linear	4000	0.12648	0.13093	-0.00445	model
2608-2609-2610-	linear	4000	0.17696	0.17696	0.0	model
2608-2609-2610-	linear	4000	0.17696	0.17696	0.0	model
2608-2609-2610-	linear	4000	0.18437	0.1849	-0.00053	model
2608-2609-2610-	linear	4000	0.11551	0.13358	-0.01808	model
2608-2609-2610-	linear	4000	0.12648	0.13093	-0.00445	model
2608-2609-2610-	linear	4000	0.06274	0.06687	-0.00412	model
2608-2609-2610-	linear	4000	0.08326	0.08857	-0.00532	model
2608-2609-2610-	linear	4000	0.07006	0.07755	-0.00749	model
2608-2609-2610-	linear	4000	0.10052	0.10219	-0.00167	model
2608-2609-2610-	linear	4000	0.07886	0.08502	-0.00617	model
2608-2609-2610-	linear	4000	0.10063	0.10196	-0.00133	model
1835-1840-1843-1850-1853-	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
1835-1840-1843-1850-1853	linear	3800	-0.04052	0.23397	-0.27449	LADCP
